# STTS Energy State — NORAD 44929 (STARLINK-1121)
# decay_epoch: 2023-03-09
# mu_nominal: -0.152688
# Markov cells: 20  MC samples: 10000  MC horizon: 10
# Dt=10 windows at training stride=5 TLE records/stride.
# Physical time per MC step is variable: ~2.5 days during active decay,
# ~5 weeks at operational altitude. Dt=10 steps ~ 25 days (decay) to ~1 year (operational).
t,days_to_reentry,M2_cell,H_t,p_t,P_forward,P_forward_ci_lo,P_forward_ci_hi,artifact_flag
0,1140.75,12,2.159787,0.0000,0.044900,0.041013,0.049137,0
1,1140.50,12,2.094040,0.0000,0.040600,0.036905,0.044648,0
2,1140.42,12,1.937267,0.0000,0.042600,0.038814,0.046737,0
3,1140.08,12,1.953997,0.0000,0.042700,0.038910,0.046841,0
4,1139.75,12,1.832055,0.0000,0.041600,0.037859,0.045693,0
5,1139.42,12,1.769325,0.0000,0.045300,0.041396,0.049554,0
6,1139.08,12,1.735752,0.0000,0.042600,0.038814,0.046737,0
7,1138.75,12,1.697276,0.0000,0.047500,0.043502,0.051846,0
8,1138.42,12,1.637725,0.0000,0.040400,0.036714,0.044439,0
9,1138.08,12,1.574094,0.0000,0.044100,0.040248,0.048302,0
10,1137.75,12,1.444351,0.0000,0.042600,0.038814,0.046737,0
11,1137.58,12,1.401593,0.0000,0.039900,0.036237,0.043916,0
12,1137.08,12,1.417788,0.0000,0.044700,0.040822,0.048928,0
13,1136.75,12,1.343546,0.0000,0.044300,0.040439,0.048511,0
14,1136.42,12,1.267691,0.0000,0.046100,0.042161,0.050387,0
15,1136.23,19,1.103721,0.0000,0.019100,0.016596,0.021973,0
16,1136.08,19,1.038275,0.0000,0.018100,0.015666,0.020904,0
17,1135.75,19,1.062232,0.0000,0.019900,0.017341,0.022827,0
18,1135.42,19,1.014261,0.0000,0.021300,0.018649,0.024319,0
19,1135.08,19,0.969315,0.0000,0.018100,0.015666,0.020904,0
20,1134.75,19,1.006126,0.0000,0.021600,0.018929,0.024638,0
21,1134.58,19,0.879330,0.0000,0.020300,0.017715,0.023254,0
22,1134.08,19,0.905340,0.0000,0.016700,0.014368,0.019404,0
23,1133.67,19,0.940668,0.0000,0.017600,0.015202,0.020369,0
24,1133.50,19,0.800595,0.0000,0.020500,0.017901,0.023467,0
25,1132.50,19,1.051623,0.0000,0.020900,0.018275,0.023893,0
26,1132.42,19,0.858684,0.0000,0.020100,0.017528,0.023041,0
27,1132.08,19,0.842855,0.0000,0.022000,0.019303,0.025064,0
28,1132.00,19,0.711314,0.0000,0.020100,0.017528,0.023041,0
29,1131.75,0,0.634292,0.0000,0.021700,0.019023,0.024745,0
30,1131.42,19,0.727297,0.0000,0.017600,0.015202,0.020369,0
31,1131.08,19,0.720102,0.0000,0.019600,0.017062,0.022507,0
32,1130.75,19,0.709420,0.0000,0.020300,0.017715,0.023254,0
33,1130.50,19,0.767515,0.0000,0.019600,0.017062,0.022507,0
34,1130.08,19,0.795379,0.0000,0.019200,0.016689,0.022080,0
35,1129.92,19,0.695127,0.0000,0.018500,0.016038,0.021332,0
36,1129.42,19,0.900381,0.0000,0.016900,0.014553,0.019618,0
37,1129.08,19,0.868241,0.0000,0.019600,0.017062,0.022507,0
38,1128.83,19,0.797600,0.0000,0.018900,0.016410,0.021760,0
39,1128.75,19,0.809170,0.0000,0.020100,0.017528,0.023041,0
40,1128.42,19,0.701698,0.0000,0.019400,0.016875,0.022294,0
41,1128.08,19,0.734223,0.0000,0.018000,0.015573,0.020797,0
42,1127.83,19,0.684785,0.0000,0.018600,0.016131,0.021439,0
43,1127.75,0,0.432520,0.0000,0.021300,0.018649,0.024319,0
44,1127.42,3,0.316603,0.0000,0.028000,0.024943,0.031419,0
45,1127.08,3,0.274812,0.0000,0.028900,0.025793,0.032369,0
46,1126.75,3,0.330367,0.0000,0.028200,0.025132,0.031630,0
47,1126.42,3,0.311186,0.0000,0.025800,0.022870,0.029094,0
48,1126.17,3,0.292323,0.0000,0.026500,0.023529,0.029835,0
49,1126.08,3,0.188321,0.0000,0.028200,0.025132,0.031630,0
50,1125.75,3,0.228362,0.0000,0.030000,0.026833,0.033528,0
51,1125.42,3,0.233943,0.0000,0.029800,0.026644,0.033318,0
52,1125.08,3,0.244054,0.0000,0.027800,0.024755,0.031208,0
53,1124.75,3,0.254289,0.0000,0.030000,0.026833,0.033528,0
54,1124.42,3,0.302162,0.0000,0.029400,0.026265,0.032896,0
55,1124.08,3,0.262614,0.0000,0.028500,0.025415,0.031947,0
56,1124.00,3,0.119143,0.0000,0.028200,0.025132,0.031630,0
57,1123.75,3,0.132489,0.0000,0.027800,0.024755,0.031208,0
58,1123.42,3,0.095313,0.0000,0.028300,0.025226,0.031736,0
59,1123.17,3,0.080720,0.0000,0.028300,0.025226,0.031736,0
60,1122.42,3,0.335872,0.0000,0.027300,0.024283,0.030680,0
61,1122.08,3,0.274736,0.0000,0.026800,0.023812,0.030152,0
62,1121.75,3,0.253920,0.0000,0.027100,0.024094,0.030469,0
63,1121.42,3,0.246351,0.0000,0.024500,0.021648,0.027718,0
64,1121.08,3,0.195398,0.0000,0.026900,0.023906,0.030257,0
65,1120.83,3,0.161093,0.0000,0.029900,0.026738,0.033423,0
66,1120.50,3,0.135639,0.0000,0.029400,0.026265,0.032896,0
67,1120.42,3,0.061398,0.0000,0.026500,0.023529,0.029835,0
68,1120.08,17,0.072762,0.0000,0.047100,0.043119,0.051429,0
69,1119.83,17,0.103205,0.0000,0.045900,0.041970,0.050179,0
70,1119.50,17,0.126335,0.0000,0.047800,0.043789,0.052158,0
71,1119.42,17,0.147222,0.0000,0.043700,0.039865,0.047885,0
72,1119.08,9,0.215141,0.0000,0.096600,0.090964,0.102546,0
73,1118.75,17,0.079301,0.0000,0.042000,0.038241,0.046111,0
74,1118.42,17,0.038434,0.0000,0.043200,0.039388,0.047363,0
75,1118.08,17,0.106136,0.0000,0.044700,0.040822,0.048928,0
76,1117.75,17,0.147766,0.0000,0.048300,0.044268,0.052678,0
77,1117.42,9,0.180788,0.0000,0.098000,0.092326,0.103983,0
78,1117.08,9,0.279402,0.0000,0.098700,0.093007,0.104701,0
79,1116.75,9,0.329405,0.0000,0.102700,0.096902,0.108803,0
80,1116.42,9,0.271950,0.0000,0.093000,0.087463,0.098850,0
81,1116.08,9,0.332461,0.0000,0.093000,0.087463,0.098850,0
82,1115.83,9,0.410827,0.0000,0.093300,0.087754,0.099158,0
83,1115.42,9,0.353040,0.0000,0.098300,0.092618,0.104290,0
