norad_id,object_name,intldes,first_tle_date,last_tle_date,n_tle_records,current_periapsis_km,current_apoapsis_km,current_bstar,current_mean_motion,current_mm_dot,launch_periapsis_km,periapsis_delta_km,launch_bstar,bstar_delta,max_consecutive_windows,pct_windows_below_eps,first_excursion_date
53737,,22107AP,2022-09-12,2025-12-31,3106,356.6,362.6,0.001827,15.6975,0.00227302,335.0,21.6,-0.0077141,0.0095411,348,24.3,2022-09-23
58265,,23174K,2023-11-28,2025-12-30,3165,288.0,293.0,0.001825,15.942,0.00671801,518.5,-230.5,0.00049883,0.00132617,330,39.1,2024-01-08
47307,,21001B,2021-01-08,2025-12-30,2467,352.5,47370.0,0.0016319,1.651,6.92e-06,286.2,66.3,0.0,0.0016319,323,42.4,2021-04-03
48475,,21040AZ,2021-05-17,2025-12-31,4420,308.3,322.6,0.0018234,15.8531,0.00468838,293.9,14.4,-0.0027809,0.0046043,246,21.7,2021-06-03
57306,,23096S,2023-07-18,2025-12-31,2260,369.8,415.0,0.0059356,15.5836,0.00504128,357.6,12.3,-0.015231,0.0211666,214,29.2,2023-08-29
60515,,24149AZ,2024-08-29,2025-12-31,1189,415.8,418.5,0.0032625,15.4984,0.00185822,504.8,-89.0,0.00076792,0.00249458,187,37.5,2024-10-27
58419,,23180T,2023-11-29,2025-12-31,1981,481.3,484.9,9.751e-05,15.2756,2.42e-05,306.0,175.4,-0.0039194,0.00401691,150,15.8,2023-12-26
46533,,20070B,2020-10-14,2025-12-31,5037,392.2,399.9,0.0028444,15.5711,0.00215292,298.1,94.1,-0.0038008,0.0066452,142,6.5,2020-10-31
63492,,25052BN,2025-04-07,2025-12-31,536,433.6,447.0,0.0027286,15.4196,0.00117866,501.8,-68.1,0.0016718,0.0010568,139,67.5,2025-04-21
45586,,20025BH,2020-04-29,2025-12-31,5590,440.2,443.7,0.0017309,15.4139,0.0007373,257.5,182.7,0.0085578,-0.0068269,138,9.5,2020-05-06
54687,,22167F,2022-12-09,2025-12-31,4685,389.2,393.4,0.00093018,15.5873,0.00072047,529.3,-140.1,0.0,0.00093018,99,31.6,2022-12-26
45531,,20025A,2020-04-29,2025-12-31,5499,434.8,438.4,0.0026782,15.4322,0.00122323,287.7,147.1,0.01025,-0.0075718,94,3.3,2020-05-06
65108,,25168C,2025-08-04,2025-12-31,401,1142.1,1156.5,0.00017774,13.2933,-4.1e-07,891.2,250.9,0.0,0.00017774,94,32.0,2025-10-05
55041,,23001AJ,2023-01-18,2025-12-31,4391,408.3,415.6,0.00087876,15.5163,0.00052369,517.9,-109.5,0.00046123,0.00041753,89,26.6,2023-02-08
59680,,24085D,2024-05-07,2025-12-31,2547,462.5,481.1,0.00062857,15.3134,0.00019026,494.1,-31.6,0.0,0.00062857,89,25.1,2024-05-22
55976,,23039D,2023-03-22,2025-12-31,4317,437.7,443.0,0.00057237,15.4195,0.00024322,501.3,-63.6,0.0,0.00057237,88,24.3,2023-04-02
48242,,21031AJ,2021-04-26,2025-12-31,4244,1204.5,1207.1,0.00067339,13.145,2.62e-06,437.5,767.0,0.00062311,5.028e-05,86,2.9,2021-05-05
48060,,21025U,2021-03-26,2025-12-31,4367,1207.9,1211.6,-0.00048095,13.1347,-1.63e-06,448.9,759.0,-0.0016037,0.00112275,70,2.4,2021-05-20
44480,,19050B,2019-08-07,2025-12-30,4041,187.5,18947.1,0.0011147,4.3117,0.0005477,220.7,-33.2,0.0,0.0011147,68,5.9,2019-11-29
56066,,23043W,2023-03-28,2025-12-31,2491,1196.0,1199.5,0.00015174,13.1659,7.1e-07,443.0,753.0,0.0008915,-0.00073976,68,6.0,2023-04-07
58770,,24011F,2024-01-19,2025-12-31,1792,474.4,476.0,5.235e-05,15.302,1.191e-05,304.2,170.3,-0.0033244,0.00337675,65,7.8,2024-02-21
53526,,22100E,2022-08-20,2025-12-31,2951,502.9,514.8,0.00070059,15.1901,0.00015019,489.1,13.7,0.0,0.00070059,61,17.6,2022-09-16
54649,,22166H,2022-12-12,2025-12-31,2750,1176.2,1179.3,2.803e-05,13.2183,2.5e-07,586.7,589.5,-0.0042756,0.00430363,57,4.3,2022-12-31
56723,,23068P,2023-05-23,2025-12-31,2409,1200.4,1203.1,0.00019163,13.1555,8.5e-07,613.6,586.9,-0.0060533,0.00624493,55,6.3,2023-06-17
63784,,25091K,2025-05-02,2025-12-31,596,482.2,483.8,0.0013884,15.2761,0.00038174,274.1,208.1,0.0025881,-0.0011997,52,13.8,2025-05-29
65150,,25171U,2025-08-18,2025-12-31,380,623.9,635.3,-0.0015393,14.7991,-0.00011936,457.3,166.6,0.0019455,-0.0034848,50,23.1,2025-09-23
58614,,23201A,2023-12-21,2025-12-31,3176,484.5,493.5,0.00031255,15.256,7.871e-05,338.2,146.3,0.0,0.00031255,49,10.9,2023-12-29
58727,,23185R,2024-01-06,2025-12-31,2997,502.7,521.9,0.00080107,15.1786,0.00016216,552.7,-50.1,-0.00055181,0.00135288,49,17.3,2024-04-13
56065,,23043V,2023-03-28,2025-12-31,2480,1196.5,1199.1,1.912e-05,13.1659,2e-07,442.7,753.8,0.0009185,-0.00089938,48,4.9,2023-04-06
55053,,23001AW,2023-01-18,2025-12-31,2524,465.9,479.3,0.00041,15.3108,0.00012258,517.5,-51.6,0.00025962,0.00015038,44,13.5,2023-02-11
55432,,23014AT,2023-02-07,2025-12-31,2763,570.0,574.1,-0.00011884,14.9833,-1.511e-05,354.6,215.4,-0.0089334,0.00881456,44,7.5,2023-03-18
63161,,25046C,2025-03-24,2025-12-31,764,1055.1,1082.2,0.00042717,13.5099,2.88e-06,908.1,147.0,0.00064565,-0.00021848,43,7.6,2025-04-15
49078,,21075D,2021-08-23,2025-12-31,3974,1212.5,1215.0,0.00037441,13.1244,1.47e-06,440.8,771.6,0.00078665,-0.00041224,41,2.5,2021-10-08
54668,,22166AC,2022-12-12,2025-12-31,2767,1176.5,1179.0,0.00012541,13.2183,6.5e-07,590.4,586.1,-0.0043029,0.00442831,38,2.3,2023-01-27
61426,,24140YT,2024-09-26,2025-12-31,1110,537.3,731.9,0.0022381,14.7832,0.00019175,561.5,-24.1,0.0030132,-0.0007751,37,11.6,2025-01-20
56071,,23043AB,2023-03-28,2025-12-31,2476,1200.5,1203.1,0.00021965,13.1555,9.6e-07,442.9,757.6,0.00091431,-0.00069466,36,4.0,2023-04-06
44631,,19039H,2019-10-15,2025-12-31,3486,520.1,545.5,0.00082886,15.1111,0.00013891,580.9,-60.9,3.693e-05,0.00079193,34,7.3,2022-05-05
53046,,22077D,2022-07-15,2025-12-31,3193,548.4,550.7,-1.708e-05,15.0565,-3.07e-06,338.7,209.7,-0.009011,0.00899392,31,10.8,2022-07-23
56053,,23043H,2023-03-28,2025-12-31,2499,1200.5,1203.1,-0.00037787,13.1555,-1.29e-06,445.3,755.1,0.00092806,-0.00130593,31,5.2,2023-04-17
59855,,24097W,2024-05-30,2025-12-31,1468,482.4,483.8,5.89e-05,15.2757,1.358e-05,312.9,169.5,-0.0040924,0.0041513,31,3.9,2024-06-24
63365,,25063C,2025-04-02,2025-12-31,691,473.9,476.1,0.0014177,15.3027,0.00041957,301.9,172.0,-0.0029525,0.0043702,31,9.8,2025-04-24
48643,,21044F,2021-06-01,2025-12-31,4368,545.2,549.2,0.0012515,15.064,0.00018408,290.1,255.1,-0.0033313,0.0045828,30,0.9,2021-06-15
59376,,24062C,2024-04-04,2025-12-31,1676,474.4,476.0,-6.65e-05,15.3019,-2.328e-05,294.3,180.1,-0.0037575,0.003691,30,6.3,2024-04-22
62321,,24239W,2024-12-13,2025-12-31,1056,474.3,475.9,0.0025853,15.3024,0.00077113,276.1,198.2,0.0,0.0025853,30,5.1,2025-01-12
65580,,25203R,2025-09-23,2025-12-31,312,940.1,952.1,7.328e-05,13.8504,9.5e-07,939.7,0.4,-0.042282,0.04235528,30,10.6,2025-12-18
55899,,22151AAX,2023-03-15,2025-12-30,1401,597.0,683.4,0.0044446,14.7656,0.00032065,681.1,-84.1,0.0055112,-0.0010666,29,12.2,2023-09-18
52912,,22069A,2022-06-27,2025-12-31,5261,629.4,631.4,0.00036973,14.7966,2.724e-05,594.8,34.6,0.0,0.00036973,28,5.0,2022-08-05
58999,,24036B,2024-03-01,2025-12-31,1732,474.1,476.4,2.718e-05,15.3019,4.45e-06,329.7,144.4,-0.0071851,0.00721228,28,3.0,2024-03-22
60897,,24140LC,2024-08-30,2025-12-31,1323,629.8,764.2,0.0019581,14.5881,9.768e-05,651.6,-21.8,0.0026099,-0.0006518,28,5.3,2024-09-29
62526,,25004R,2025-01-14,2025-12-31,880,482.3,483.6,0.0012076,15.2761,0.00033153,283.6,198.7,-0.0018213,0.0030289,28,8.5,2025-02-08
