norad_id,object_name,launch_date,current_periapsis_km,current_apoapsis_km,shell,max_consecutive_windows,first_excursion_date,excursion_duration_days,bstar_mean,bstar_change,classification
65108,,2025-08-04,1142.1,1156.5,V-band (1110-1200km) or non-Starlink,94,2025-10-05,94,0.00017774,0.00017774,anomaly
48242,,2021-04-26,1204.5,1207.1,V-band (1110-1200km) or non-Starlink,86,2021-05-05,86,0.00067339,5.028e-05,anomaly
48060,,2021-03-26,1207.9,1211.6,V-band (1110-1200km) or non-Starlink,70,2021-05-20,70,-0.00048095,0.00112275,anomaly
56066,,2023-03-28,1196.0,1199.5,V-band (1110-1200km) or non-Starlink,68,2023-04-07,68,0.00015174,-0.00073976,anomaly
54649,,2022-12-12,1176.2,1179.3,V-band (1110-1200km) or non-Starlink,57,2022-12-31,57,2.803e-05,0.00430363,anomaly
56723,,2023-05-23,1200.4,1203.1,V-band (1110-1200km) or non-Starlink,55,2023-06-17,55,0.00019163,0.00624493,anomaly
65150,,2025-08-18,623.9,635.3,possible v2 Mini upper,50,2025-09-23,50,-0.0015393,-0.0034848,anomaly
56065,,2023-03-28,1196.5,1199.1,V-band (1110-1200km) or non-Starlink,48,2023-04-06,48,1.912e-05,-0.00089938,anomaly
63161,,2025-03-24,1055.1,1082.2,unknown,43,2025-04-15,43,0.00042717,-0.00021848,anomaly
49078,,2021-08-23,1212.5,1215.0,V-band (1110-1200km) or non-Starlink,41,2021-10-08,41,0.00037441,-0.00041224,anomaly
54668,,2022-12-12,1176.5,1179.0,V-band (1110-1200km) or non-Starlink,38,2023-01-27,38,0.00012541,0.00442831,anomaly
56071,,2023-03-28,1200.5,1203.1,V-band (1110-1200km) or non-Starlink,36,2023-04-06,36,0.00021965,-0.00069466,anomaly
56053,,2023-03-28,1200.5,1203.1,V-band (1110-1200km) or non-Starlink,31,2023-04-17,31,-0.00037787,-0.00130593,anomaly
65580,,2025-09-23,940.1,952.1,unknown,30,2025-12-18,30,7.328e-05,0.04235528,anomaly
52912,,2022-06-27,629.4,631.4,possible v2 Mini upper,28,2022-08-05,28,0.00036973,0.00036973,anomaly
60897,,2024-08-30,629.8,764.2,possible v2 Mini upper,28,2024-09-29,28,0.0019581,-0.0006518,anomaly
45425,,2020-03-21,1216.2,1219.2,V-band (1110-1200km) or non-Starlink,27,2020-05-21,27,-0.0015789,-0.0015789,anomaly
62325,,2024-12-16,1166.8,1169.0,V-band (1110-1200km) or non-Starlink,26,2025-01-11,26,0.00017392,0.00017392,anomaly
64286,,2025-06-06,1166.6,1169.2,V-band (1110-1200km) or non-Starlink,25,2025-08-12,25,0.00018095,0.00018095,anomaly
61314,,2024-09-25,615.3,769.4,possible v2 Mini upper,11,2024-10-08,11,0.0021195,7.7e-05,ambiguous
53758,,2022-09-06,682.5,693.4,unknown,9,2024-05-11,9,0.0004163,0.0004163,ambiguous
56668,,2023-05-17,732.4,781.6,unknown,8,2025-03-22,8,0.0016705,0.0003986,ambiguous
54451,,2022-12-01,729.3,834.4,unknown,3,2024-10-07,3,0.0022144,0.00135448,likely_artifact
