prev_cell,current_cell,pair_count,pair_frequency,kl_divergence,excluded_reason
0,0,9913,0.06892644,0.00999371,
0,1,0,0.0,,N<10
0,2,6,4.172e-05,,N<10
0,3,983,0.00683493,0.31389835,
0,4,0,0.0,,N<10
0,5,41,0.00028508,0.93573221,
0,6,0,0.0,,N<10
0,7,0,0.0,,N<10
0,8,2,1.391e-05,,N<10
0,9,71,0.00049367,0.94617862,
0,10,0,0.0,,N<10
0,11,14,9.734e-05,1.44143253,
0,12,51,0.00035461,0.14431446,
0,13,0,0.0,,N<10
0,14,0,0.0,,N<10
0,15,0,0.0,,N<10
0,16,1,6.95e-06,,N<10
0,17,115,0.00079961,1.01645137,
0,18,0,0.0,,N<10
0,19,1503,0.01045056,0.00758623,
1,0,0,0.0,,N<10
1,1,137,0.00095258,0.0239788,
1,2,0,0.0,,N<10
1,3,0,0.0,,N<10
1,4,15,0.0001043,0.49608021,
1,5,0,0.0,,N<10
1,6,7,4.867e-05,,N<10
1,7,1,6.95e-06,,N<10
1,8,1,6.95e-06,,N<10
1,9,0,0.0,,N<10
1,10,87,0.00060492,0.11653859,
1,11,0,0.0,,N<10
1,12,0,0.0,,N<10
1,13,0,0.0,,N<10
1,14,0,0.0,,N<10
1,15,64,0.000445,0.6059108,
1,16,0,0.0,,N<10
1,17,0,0.0,,N<10
1,18,0,0.0,,N<10
1,19,0,0.0,,N<10
2,0,6,4.172e-05,,N<10
2,1,1,6.95e-06,,N<10
2,2,909,0.0063204,0.01503394,
2,3,16,0.00011125,0.53760805,
2,4,0,0.0,,N<10
2,5,66,0.00045891,1.02268299,
2,6,35,0.00024336,0.73353325,
2,7,0,0.0,,N<10
2,8,0,0.0,,N<10
2,9,32,0.0002225,1.15474209,
2,10,0,0.0,,N<10
2,11,300,0.00208594,0.29429253,
2,12,0,0.0,,N<10
2,13,0,0.0,,N<10
2,14,216,0.00150188,0.10661687,
2,15,4,2.781e-05,,N<10
2,16,1,6.95e-06,,N<10
2,17,24,0.00016688,0.19334651,
2,18,0,0.0,,N<10
2,19,1,6.95e-06,,N<10
3,0,1000,0.00695314,0.07215141,
3,1,0,0.0,,N<10
3,2,14,9.734e-05,0.41493311,
3,3,44481,0.30928244,0.00231321,
3,4,0,0.0,,N<10
3,5,154,0.00107078,0.41250274,
3,6,0,0.0,,N<10
3,7,0,0.0,,N<10
3,8,2,1.391e-05,,N<10
3,9,373,0.00259352,0.19427096,
3,10,0,0.0,,N<10
3,11,60,0.00041719,0.39246444,
3,12,14,9.734e-05,0.16505626,
3,13,0,0.0,,N<10
3,14,5,3.477e-05,,N<10
3,15,0,0.0,,N<10
3,16,0,0.0,,N<10
3,17,5970,0.04151022,0.02898189,
3,18,0,0.0,,N<10
3,19,77,0.00053539,0.38025832,
4,0,0,0.0,,N<10
4,1,1,6.95e-06,,N<10
4,2,0,0.0,,N<10
4,3,0,0.0,,N<10
4,4,51,0.00035461,0.14438083,
4,5,0,0.0,,N<10
4,6,0,0.0,,N<10
4,7,12,8.344e-05,0.00828467,
4,8,0,0.0,,N<10
4,9,1,6.95e-06,,N<10
4,10,19,0.00013211,0.39920259,
4,11,0,0.0,,N<10
4,12,0,0.0,,N<10
4,13,0,0.0,,N<10
4,14,0,0.0,,N<10
4,15,0,0.0,,N<10
4,16,0,0.0,,N<10
4,17,0,0.0,,N<10
4,18,1,6.95e-06,,N<10
4,19,0,0.0,,N<10
5,0,35,0.00024336,1.30775071,
5,1,0,0.0,,N<10
5,2,89,0.00061883,0.12921317,
5,3,145,0.0010082,0.58173461,
5,4,0,0.0,,N<10
5,5,6172,0.04291475,0.00963897,
5,6,0,0.0,,N<10
5,7,0,0.0,,N<10
5,8,0,0.0,,N<10
5,9,1881,0.01307885,0.02389759,
5,10,0,0.0,,N<10
5,11,1191,0.00828118,0.0103685,
5,12,0,0.0,,N<10
5,13,0,0.0,,N<10
5,14,8,5.563e-05,,N<10
5,15,1,6.95e-06,,N<10
5,16,0,0.0,,N<10
5,17,263,0.00182867,0.51504251,
5,18,0,0.0,,N<10
5,19,9,6.258e-05,,N<10
6,0,2,1.391e-05,,N<10
6,1,21,0.00014602,0.87710578,
6,2,31,0.00021555,0.4434538,
6,3,1,6.95e-06,,N<10
6,4,2,1.391e-05,,N<10
6,5,2,1.391e-05,,N<10
6,6,498,0.00346266,0.02663847,
6,7,0,0.0,,N<10
6,8,0,0.0,,N<10
6,9,2,1.391e-05,,N<10
6,10,4,2.781e-05,,N<10
6,11,5,3.477e-05,,N<10
6,12,0,0.0,,N<10
6,13,0,0.0,,N<10
6,14,101,0.00070227,0.28348735,
6,15,169,0.00117508,0.09426659,
6,16,0,0.0,,N<10
6,17,2,1.391e-05,,N<10
6,18,0,0.0,,N<10
6,19,0,0.0,,N<10
7,0,0,0.0,,N<10
7,1,0,0.0,,N<10
7,2,0,0.0,,N<10
7,3,0,0.0,,N<10
7,4,0,0.0,,N<10
7,5,0,0.0,,N<10
7,6,0,0.0,,N<10
7,7,3,2.086e-05,,N<10
7,8,0,0.0,,N<10
7,9,1,6.95e-06,,N<10
7,10,0,0.0,,N<10
7,11,0,0.0,,N<10
7,12,0,0.0,,N<10
7,13,0,0.0,,N<10
7,14,0,0.0,,N<10
7,15,0,0.0,,N<10
7,16,0,0.0,,N<10
7,17,0,0.0,,N<10
7,18,1,6.95e-06,,N<10
7,19,0,0.0,,N<10
8,0,4,2.781e-05,,N<10
8,1,0,0.0,,N<10
8,2,2,1.391e-05,,N<10
8,3,3,2.086e-05,,N<10
8,4,0,0.0,,N<10
8,5,0,0.0,,N<10
8,6,0,0.0,,N<10
8,7,0,0.0,,N<10
8,8,218,0.00151578,0.01790432,
8,9,3,2.086e-05,,N<10
8,10,1,6.95e-06,,N<10
8,11,2,1.391e-05,,N<10
8,12,146,0.00101516,0.30397801,
8,13,0,0.0,,N<10
8,14,1,6.95e-06,,N<10
8,15,0,0.0,,N<10
8,16,12,8.344e-05,0.28943724,
8,17,3,2.086e-05,,N<10
8,18,0,0.0,,N<10
8,19,27,0.00018773,2.31573149,
9,0,77,0.00053539,0.99108044,
9,1,0,0.0,,N<10
9,2,35,0.00024336,0.49152396,
9,3,381,0.00264914,0.32223723,
9,4,0,0.0,,N<10
9,5,1722,0.0119733,0.01942685,
9,6,1,6.95e-06,,N<10
9,7,0,0.0,,N<10
9,8,1,6.95e-06,,N<10
9,9,10121,0.07037269,0.01151946,
9,10,0,0.0,,N<10
9,11,238,0.00165485,0.15888022,
9,12,5,3.477e-05,,N<10
9,13,0,0.0,,N<10
9,14,3,2.086e-05,,N<10
9,15,1,6.95e-06,,N<10
9,16,0,0.0,,N<10
9,17,2669,0.01855792,0.03241618,
9,18,0,0.0,,N<10
9,19,26,0.00018078,1.42326502,
10,0,0,0.0,,N<10
10,1,52,0.00036156,0.64658234,
10,2,2,1.391e-05,,N<10
10,3,0,0.0,,N<10
10,4,55,0.00038242,0.05023805,
10,5,0,0.0,,N<10
10,6,0,0.0,,N<10
10,7,2,1.391e-05,,N<10
10,8,0,0.0,,N<10
10,9,0,0.0,,N<10
10,10,168,0.00116813,0.08202475,
10,11,0,0.0,,N<10
10,12,0,0.0,,N<10
10,13,0,0.0,,N<10
10,14,0,0.0,,N<10
10,15,3,2.086e-05,,N<10
10,16,0,0.0,,N<10
10,17,0,0.0,,N<10
10,18,1,6.95e-06,,N<10
10,19,0,0.0,,N<10
11,0,10,6.953e-05,1.54848479,
11,1,0,0.0,,N<10
11,2,326,0.00226672,0.01405337,
11,3,67,0.00046586,0.4672928,
11,4,0,0.0,,N<10
11,5,1253,0.00871228,0.04072978,
11,6,5,3.477e-05,,N<10
11,7,0,0.0,,N<10
11,8,2,1.391e-05,,N<10
11,9,193,0.00134196,0.52462958,
11,10,0,0.0,,N<10
11,11,3727,0.02591434,0.01120848,
11,12,0,0.0,,N<10
11,13,0,0.0,,N<10
11,14,35,0.00024336,0.36282671,
11,15,1,6.95e-06,,N<10
11,16,0,0.0,,N<10
11,17,88,0.00061188,0.39347458,
11,18,0,0.0,,N<10
11,19,2,1.391e-05,,N<10
12,0,51,0.00035461,2.78143529,
12,1,0,0.0,,N<10
12,2,3,2.086e-05,,N<10
12,3,26,0.00018078,3.21296791,
12,4,0,0.0,,N<10
12,5,12,8.344e-05,2.01703936,
12,6,2,1.391e-05,,N<10
12,7,0,0.0,,N<10
12,8,99,0.00068836,0.05974981,
12,9,8,5.563e-05,,N<10
12,10,0,0.0,,N<10
12,11,7,4.867e-05,,N<10
12,12,754,0.00524266,0.03918349,
12,13,0,0.0,,N<10
