t,days_to_reentry,M2_cell,H_t,p_t,P_forward,artifact_flag
0,464.88,14,3.453897,0.6000,0.601200,0
1,464.15,14,3.789404,0.8000,0.608700,0
2,463.16,14,3.540928,0.8000,0.592100,0
3,462.89,14,3.500591,1.0000,0.599400,0
4,461.96,14,3.323754,0.8000,0.591000,0
5,461.96,14,3.482834,0.6000,0.602900,0
6,458.51,14,3.387502,0.6000,0.598100,0
7,458.44,14,3.528481,0.4000,0.601100,0
8,458.18,14,3.543448,0.6000,0.602300,0
9,457.25,14,3.418068,0.6000,0.605100,0
10,457.25,14,3.154624,0.6000,0.592800,0
11,456.19,2,2.609872,0.2000,0.406000,0
12,456.19,2,1.917202,0.0000,0.398200,0
13,455.99,5,1.392506,0.0000,0.160400,0
14,455.13,11,0.947439,0.2000,0.228100,0
15,454.99,5,0.761415,0.0000,0.159300,0
16,454.26,9,0.349422,0.0000,0.091600,0
17,453.40,9,0.261706,0.0000,0.088600,0
18,452.20,9,0.354019,0.0000,0.096600,0
19,452.14,9,0.316384,0.0000,0.100100,0
20,451.08,9,0.281750,0.0000,0.092700,0
21,451.08,9,0.255371,0.0000,0.096600,0
22,450.15,17,0.117601,0.0000,0.046100,0
23,449.61,17,0.098166,0.0000,0.044600,0
24,449.15,17,0.068995,0.0000,0.046100,0
25,448.35,17,0.066843,0.0000,0.046800,0
26,447.23,17,0.067335,0.0000,0.047100,0
27,447.16,17,0.059248,0.2000,0.046600,0
28,446.63,17,0.015351,0.0000,0.044600,0
29,446.23,17,0.054493,0.0000,0.043900,0
30,444.30,3,0.058245,0.0000,0.030300,0
31,443.24,3,0.081871,0.0000,0.025600,0
32,443.18,3,0.098437,0.0000,0.027500,0
33,442.45,3,0.100663,0.0000,0.029400,0
34,441.52,3,0.202961,0.0000,0.028100,0
35,440.52,3,0.178370,0.0000,0.028300,0
36,439.33,3,0.171771,0.0000,0.027300,0
37,438.33,3,0.173919,0.0000,0.028900,0
38,437.86,3,0.159088,0.0000,0.026900,0
39,437.27,3,0.152567,0.0000,0.033900,0
40,436.80,3,0.142742,0.0000,0.027400,0
41,436.47,3,0.124011,0.0000,0.026900,0
42,435.54,3,0.087334,0.0000,0.026700,0
43,435.41,3,0.126368,0.0000,0.029300,0
44,434.35,3,0.117421,0.0000,0.025900,0
45,433.35,3,0.105037,0.0000,0.029000,0
46,432.82,3,0.092067,0.0000,0.027400,0
47,432.35,3,0.076749,0.0000,0.032400,0
48,431.62,3,0.074304,0.0000,0.025600,0
49,431.36,3,0.074865,0.0000,0.029800,0
50,430.56,3,0.072575,0.0000,0.028700,0
51,430.50,3,0.076145,0.0000,0.027100,0
52,429.43,3,0.071491,0.0000,0.026400,0
53,428.44,3,0.066956,0.0000,0.027200,0
54,427.77,3,0.066856,0.0000,0.028500,0
55,427.51,3,0.068012,0.0000,0.027100,0
56,426.45,3,0.061536,0.0000,0.026800,0
57,425.45,17,0.052931,0.0000,0.043800,0
58,424.45,17,0.039832,0.0000,0.045100,0
59,423.99,17,0.038268,0.0000,0.043100,0
60,423.53,3,0.062709,0.0000,0.025900,0
61,422.53,3,0.088311,0.0000,0.027800,0
62,421.40,3,0.090743,0.0000,0.028200,0
63,420.54,3,0.083647,0.0000,0.027800,0
64,418.94,3,0.089061,0.0000,0.026500,0
65,418.08,3,0.113404,0.0000,0.028500,0
66,417.88,3,0.125122,0.0000,0.027700,0
67,417.62,3,0.135885,0.0000,0.025800,0
68,416.62,3,0.161390,0.0000,0.026200,0
69,415.63,3,0.172412,0.0000,0.028000,0
70,413.17,3,0.180442,0.0000,0.026000,0
71,412.70,3,0.188138,0.0000,0.029600,0
72,411.91,3,0.193523,0.0000,0.028600,0
73,411.04,3,0.200864,0.0000,0.026500,0
74,410.71,3,0.208135,0.0000,0.027700,0
75,410.05,3,0.210026,0.0000,0.027000,0
76,409.85,3,0.213474,0.0000,0.025300,0
77,409.78,3,0.215981,0.0000,0.029500,0
78,409.78,3,0.218037,0.0000,0.027400,0
79,409.12,3,0.212948,0.0000,0.027100,0
