norad_id,total_transitions,signal_transitions,artifact_transitions,artifact_rate
44236,1070,1070,0,0.0
44242,1115,1113,2,0.001794
44243,1242,1242,0,0.0
44248,1116,1116,0,0.0
44249,2767,2763,4,0.001446
44252,2879,2879,0,0.0
44255,1120,1120,0,0.0
44256,1181,1181,0,0.0
44270,1064,1064,0,0.0
44273,1227,1227,0,0.0
44284,1195,1192,3,0.00251
44285,1134,1132,2,0.001764
44286,1578,1577,1,0.000634
44288,1152,1151,1,0.000868
44290,1134,1134,0,0.0
44293,1201,1198,3,0.002498
44294,1193,1192,1,0.000838
44722,3192,3190,2,0.000627
44745,834,834,0,0.0
44929,3090,3090,0,0.0
44935,1882,1881,1,0.000531
44947,3333,3333,0,0.0
44963,3007,3005,2,0.000665
45046,1961,1961,0,0.0
45063,1096,1095,1,0.000912
45069,965,963,2,0.002073
45070,928,925,3,0.003233
45086,1974,1973,1,0.000507
45091,982,978,4,0.004073
45218,1463,1462,1,0.000684
45231,2802,2802,0,0.0
45363,467,467,0,0.0
45533,2520,2518,2,0.000794
45537,2628,2628,0,0.0
45575,2923,2923,0,0.0
45737,1317,1310,7,0.005315
45765,1510,1510,0,0.0
46367,942,942,0,0.0
46369,1309,1309,0,0.0
46373,973,971,2,0.002055
46381,1176,1176,0,0.0
46695,1000,1000,0,0.0
46708,1614,1614,0,0.0
46739,802,800,2,0.002494
46761,877,876,1,0.00114
46769,1501,1501,0,0.0
46774,1301,1298,3,0.002306
46795,1274,1272,2,0.00157
47123,864,863,1,0.001157
47130,2912,2912,0,0.0
47156,1540,1540,0,0.0
47180,999,999,0,0.0
47349,1860,1858,2,0.001075
47364,913,913,0,0.0
47413,920,920,0,0.0
47569,1853,1853,0,0.0
47669,2309,2306,3,0.001299
47678,759,755,4,0.00527
47765,1198,1196,2,0.001669
47893,340,340,0,0.0
47987,793,793,0,0.0
47988,1577,1575,2,0.001268
48001,748,748,0,0.0
48012,2081,2080,1,0.000481
48017,1345,1343,2,0.001487
48601,247,247,0,0.0
52099,63,63,0,0.0
52104,67,67,0,0.0
52130,54,54,0,0.0
53710,157,157,0,0.0
53725,146,146,0,0.0
53747,62,62,0,0.0
53791,154,154,0,0.0
54057,420,420,0,0.0
55356,92,92,0,0.0
55696,178,178,0,0.0
55711,223,223,0,0.0
56829,41,41,0,0.0
